Configuration,kernel_conv_filter,HtoD,DtoH,Total_time,Kernel_time
(1_256_3),12693.300000000001,0.017,0.043,12693.360,12693.300
(1_400_6),64196.9,0.0381,8.2283,64205.166,64196.900
(1_320_6),40195.799999999996,0.0258,5.5974,40201.423,40195.800
(1_256_6),24910.0,0.0178,0.0932,24910.111,24910.000
(1_128_6),5973.4,0.0097,0.0144,5973.424,5973.400
(1_32_6),331.45,0.002,0.0014,331.453,331.450
(1_256_9),45884.0,0.0173,5.2059,45889.223,45884.000
(1_64_9),2574.3399999999997,0.0035,0.0062,2574.350,2574.340
(1_256_12),66145.1,0.018,5.3335,66150.451,66145.100
(1_64_12),3637.47,0.0035,0.0076,3637.481,3637.470
(3_150_16),77866.5,0.0188,0.0814,77866.600,77866.500
(3_64_16),12979.4,0.0077,0.0095,12979.417,12979.400
(3_32_16),2905.31,0.0034,0.0026,2905.316,2905.310
(6_150_16),144796.0,0.035,0.0799,144796.115,144796.000
(6_128_16),103399.0,0.0253,0.0573,103399.083,103399.000
(6_70_16),30906.8,0.0113,0.0131,30906.824,30906.800
(6_32_16),5347.209999999999,0.0053,0.0029,5347.218,5347.210
(6_16_16),1001.2,0.0033,0.0011,1001.204,1001.200
(6_8_16),121.02,0.0026,0.000801,121.023,121.020
(6_32_32),18674.0,0.0088,0.0048,18674.014,18674.000
(6_16_32),3558.92,0.0043,0.0014,3558.926,3558.920
(6_8_32),398.16,0.004,0.000801,398.165,398.160
(16_32_32),49067.2,0.0164,0.0051,49067.221,49067.199
(16_16_32),9267.18,0.0096,0.0014,9267.191,9267.180
(16_8_32),1092.6299999999999,0.008,0.0007999999999999999,1092.639,1092.630
(16_32_64),95452.1,0.0163,0.0092,95452.126,95452.101
(16_16_64),17943.6,0.0102,0.0024,17943.613,17943.600
(16_8_64),2055.25,0.0086,0.001,2055.260,2055.250
(32_32_64),205184.0,0.0228,0.0127,205184.035,205184.000
(32_8_64),4203.2,0.014,0.001,4203.215,4203.200
